Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1671775
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,5736986
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,73724727
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,4773373
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,94
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,18127
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,217940
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,552743
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,30622
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,44391.00000000001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,100036
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,125
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,16
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,36262
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,10
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,149764
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,3058.0000000000005
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,142
